武器类别	战斗站立	普通站立1	普通站立2	战斗行走	普通行走	战斗跑步	普通跑步	受伤	死亡	攻击1	攻击2	魔法	打坐	跳跃
空手	骑马站立	骑马站立	骑马站立2	骑马走路	骑马走路	骑马跑步	骑马跑步	骑马受伤	骑马死亡	骑马攻击劈	骑马攻击刺	骑马魔法		
单手剑1	骑马站立	骑马站立	骑马站立2	骑马走路	骑马走路	骑马跑步	骑马跑步	骑马受伤	骑马死亡	骑马攻击劈	骑马攻击刺	骑马魔法		
单手剑2	骑马站立	骑马站立	骑马站立2	骑马走路	骑马走路	骑马跑步	骑马跑步	骑马受伤	骑马死亡	骑马攻击劈	骑马攻击刺	骑马魔法		
单手剑3	骑马站立	骑马站立	骑马站立2	骑马走路	骑马走路	骑马跑步	骑马跑步	骑马受伤	骑马死亡	骑马攻击劈	骑马攻击刺	骑马魔法		
单手刀1	骑马站立	骑马站立	骑马站立2	骑马走路	骑马走路	骑马跑步	骑马跑步	骑马受伤	骑马死亡	骑马攻击劈	骑马攻击刺	骑马魔法		
单手刀2	骑马站立	骑马站立	骑马站立2	骑马走路	骑马走路	骑马跑步	骑马跑步	骑马受伤	骑马死亡	骑马攻击劈	骑马攻击刺	骑马魔法		
单手刀3	骑马站立	骑马站立	骑马站立2	骑马走路	骑马走路	骑马跑步	骑马跑步	骑马受伤	骑马死亡	骑马攻击劈	骑马攻击刺	骑马魔法		
长枪类1	骑马站立	骑马站立	骑马站立2	骑马走路	骑马走路	骑马跑步	骑马跑步	骑马受伤	骑马死亡	骑马攻击劈	骑马攻击刺	骑马魔法		
长枪类2	骑马站立	骑马站立	骑马站立2	骑马走路	骑马走路	骑马跑步	骑马跑步	骑马受伤	骑马死亡	骑马攻击劈	骑马攻击刺	骑马魔法		
长枪类3	骑马站立	骑马站立	骑马站立2	骑马走路	骑马走路	骑马跑步	骑马跑步	骑马受伤	骑马死亡	骑马攻击劈	骑马攻击刺	骑马魔法		
长棍类1	骑马站立	骑马站立	骑马站立2	骑马走路	骑马走路	骑马跑步	骑马跑步	骑马受伤	骑马死亡	骑马攻击劈	骑马攻击刺	骑马魔法		
长棍类2	骑马站立	骑马站立	骑马站立2	骑马走路	骑马走路	骑马跑步	骑马跑步	骑马受伤	骑马死亡	骑马攻击劈	骑马攻击刺	骑马魔法		
长棍类3	骑马站立	骑马站立	骑马站立2	骑马走路	骑马走路	骑马跑步	骑马跑步	骑马受伤	骑马死亡	骑马攻击劈	骑马攻击刺	骑马魔法		
双剑类1	骑马站立	骑马站立	骑马站立2	骑马走路	骑马走路	骑马跑步	骑马跑步	骑马受伤	骑马死亡	骑马攻击劈	骑马攻击刺	骑马魔法		
双剑类2	骑马站立	骑马站立	骑马站立2	骑马走路	骑马走路	骑马跑步	骑马跑步	骑马受伤	骑马死亡	骑马攻击劈	骑马攻击刺	骑马魔法		
双剑类3	骑马站立	骑马站立	骑马站立2	骑马走路	骑马走路	骑马跑步	骑马跑步	骑马受伤	骑马死亡	骑马攻击劈	骑马攻击刺	骑马魔法
双锤类1	骑马站立	骑马站立	骑马站立2	骑马走路	骑马走路	骑马跑步	骑马跑步	骑马受伤	骑马死亡	骑马攻击劈	骑马攻击刺	骑马魔法
双锤类2	骑马站立	骑马站立	骑马站立2	骑马走路	骑马走路	骑马跑步	骑马跑步	骑马受伤	骑马死亡	骑马攻击劈	骑马攻击刺	骑马魔法
双锤类3	骑马站立	骑马站立	骑马站立2	骑马走路	骑马走路	骑马跑步	骑马跑步	骑马受伤	骑马死亡	骑马攻击劈	骑马攻击刺	骑马魔法
暗器	骑马站立	骑马站立	骑马站立2	骑马走路	骑马走路	骑马跑步	骑马跑步	骑马受伤	骑马死亡	骑马魔法	骑马魔法	骑马魔法
单手剑4	骑马站立	骑马站立	骑马站立2	骑马走路	骑马走路	骑马跑步	骑马跑步	骑马受伤	骑马死亡	骑马攻击劈	骑马攻击刺	骑马魔法
单手剑5	骑马站立	骑马站立	骑马站立2	骑马走路	骑马走路	骑马跑步	骑马跑步	骑马受伤	骑马死亡	骑马攻击劈	骑马攻击刺	骑马魔法
单手刀4	骑马站立	骑马站立	骑马站立2	骑马走路	骑马走路	骑马跑步	骑马跑步	骑马受伤	骑马死亡	骑马攻击劈	骑马攻击刺	骑马魔法
单手刀5	骑马站立	骑马站立	骑马站立2	骑马走路	骑马走路	骑马跑步	骑马跑步	骑马受伤	骑马死亡	骑马攻击劈	骑马攻击刺	骑马魔法
长枪类4	骑马站立	骑马站立	骑马站立2	骑马走路	骑马走路	骑马跑步	骑马跑步	骑马受伤	骑马死亡	骑马攻击劈	骑马攻击刺	骑马魔法
长枪类5	骑马站立	骑马站立	骑马站立2	骑马走路	骑马走路	骑马跑步	骑马跑步	骑马受伤	骑马死亡	骑马攻击劈	骑马攻击刺	骑马魔法
长棍类4	骑马站立	骑马站立	骑马站立2	骑马走路	骑马走路	骑马跑步	骑马跑步	骑马受伤	骑马死亡	骑马攻击劈	骑马攻击刺	骑马魔法
长棍类5	骑马站立	骑马站立	骑马站立2	骑马走路	骑马走路	骑马跑步	骑马跑步	骑马受伤	骑马死亡	骑马攻击劈	骑马攻击刺	骑马魔法
双剑类4	骑马站立	骑马站立	骑马站立2	骑马走路	骑马走路	骑马跑步	骑马跑步	骑马受伤	骑马死亡	骑马攻击劈	骑马攻击刺	骑马魔法
双剑类5	骑马站立	骑马站立	骑马站立2	骑马走路	骑马走路	骑马跑步	骑马跑步	骑马受伤	骑马死亡	骑马攻击劈	骑马攻击刺	骑马魔法
双锤类4	骑马站立	骑马站立	骑马站立2	骑马走路	骑马走路	骑马跑步	骑马跑步	骑马受伤	骑马死亡	骑马攻击劈	骑马攻击刺	骑马魔法
